Name,Score
Trigun,8.221
Witch Hunter Robin,7.261
Bouken Ou Beet,6.941
Eyeshield 21,7.921
Hachimitsu to Clover,8.011
Initial D Fourth Stage,8.151
Naruto,7.971
Tennis no Ouji-sama,7.871
School Rumble,7.901
Yakitate!! Japan,7.921
