Name,Score
Trigun,8.221
Initial D Fourth Stage,8.151
Hachimitsu to Clover,8.011
Naruto,7.971
Eyeshield 21,7.921
Yakitate!! Japan,7.921
School Rumble,7.901
Tennis no Ouji-sama,7.871
Witch Hunter Robin,7.261
Bouken Ou Beet,6.941
